text,emotion
"এবার নেংটো হয়ে নাচ শুওরের বাচ্ছা গুলো
",anger
"তোমরা কাদনা তোমরা এক দিন জয় আনিবে সুভ কামনা রহিলো
",joy
"Walid Hossain ওরে পাগলা,ওরম মনে
",joy
"Tathagata Neath এই মালাউনের বাচ্ছা তোর মা ব্যাশ্যার তুই তোদের ধোনের বিচি নি বেশি লাফালাফি করিস না। তোর বংশ চুদে দিবো তুই জারজ তোর মা বোন ব্যাশ্যা
",anger
"কথা শুধু নাগিন হবে
",none
"বাংলাদেশে বলে কথা
",surprise
"বাংলাদেশ দারুণ খেলা দেখিয়েছে।সত্যি বলছি অবিসাস্য রহিম। আমি ভারতীয় বাংলাদেশের এটি একটি বিরাটজয়।
",joy
"জিতছে বাংলাদেশ দেখছে বিশ্ব
",joy
"জিতছে বাংলাদেশ দেখছে বিশ্ব
",joy
"সাব্বাস বাংলাদেশ এগিয়ে জাও
",joy
"অন্তর থেকে অভিনন্দন বাংলাদেশ ক্রিকেট টিমকে ।
",joy
"Mostafa Sohel তুই একটা পাঠা
",anger
"খানকির পোলারা যা করল?
",disgust
"এই ম্যাচটা আমার কাছে ইতিহাস হয়ে থাকবে।
",joy
"প্রিয়া আমি, কেন আপনার হাসি পায়?হাসি পেলে বাংলাদেশ এ থাকার দরকার গিয়ে হাসেন।কারণ এ দেশে আপনার ফালতু হাসির জায়গা নেই।
",disgust
"প্রিয়া আমি, কেন আপনার হাসি পায়?হাসি পেলে বাংলাদেশ এ থাকার দরকার গিয়ে হাসেন।কারণ এ দেশে আপনার ফালতু হাসির জায়গা নেই।
",disgust
"লুচ্চা
",disgust
"আস্সালামুআলাইকুম ভাইয়া, আপনার অনেক ফলোয়ার, আপনি দয়া করে ইসলাম নিয়ে ভিডিও বানান, যেই ভিডিও তে মানুষ নামাজ, কুরআন, সুন্নাহ সম্পর্কে জানবে, তাহলে আপনার মাধ্যমে আপনার অনেক ফলোয়ার যারা আপনাকে ভালোবাসে তারা অনেক বেশি উপকৃত হবে। জাজাকাল্লহ খায়ের।
",none
"tanzila akther আপু আমাদের চ্যানেল এর ভিডিও গুলো দেখার আমন্ত্রন রইল।ভালো লাগবে আশা করি
",none
"ভালো লেগেছে। তবে উলঙ্গপনাটা বেশী
",joy
"ভালো লেগেছে। তবে উলঙ্গপনাটা বেশী
",disgust
"সালমান একটা আবাল চোদা
",disgust
"অভিপ্রায় প্রিয় idiot its acting
",disgust
"সালমাল এই বেশ্যা গুলা কে কই থেকে পায়? আর এত অশ্লীল ভিডিও আশা করিনি।টিন এজার রা দেখলে ভুল বুঝবে।
",anger
"সালমাল এই বেশ্যা গুলা কে কই থেকে পায়? আর এত অশ্লীল ভিডিও আশা করিনি।টিন এজার রা দেখলে ভুল বুঝবে।
",disgust
"তোমার বাপ কি ইংলিস, মা বাংলাদেশি
",anger
"বালোই মজা লইলা brro
",joy
"এই গুলো দেকে মানুষের কি লাপ হয় অামি যানতে চাই? ওরা টাকা ইনকেম করে অামাদের সময় নষ্ট হয়? ২ বেয়াদব
",anger
"এই গুলো দেকে মানুষের কি লাপ হয় অামি যানতে চাই? ওরা টাকা ইনকেম করে অামাদের সময় নষ্ট হয়? ২ বেয়াদব
",disgust
"এই গুলো দেকে মানুষের কি লাপ হয় অামি যানতে চাই? ওরা টাকা ইনকেম করে অামাদের সময় নষ্ট হয়? ২ বেয়াদব
",sad
"তোরা কি বাংলা বলতে পারিস সালা আবালের দল।
",anger
"ভাই নেক্সট টাইম সালমান দাদাকে হাতের কাছে পাইলে আমার হইয়া ওর ঘারেতলে একটা দিয়েন।
",anger
"ভাই নেক্সট টাইম সালমান দাদাকে হাতের কাছে পাইলে আমার হইয়া ওর ঘারেতলে একটা দিয়েন।
",disgust
"এসব শুনে সময় নষ্ট না করে নিজে ভাল কিছু করা better
",none
"সস্তা বিনোদন, মন্দ
",disgust
"বালের মাথা বানাই,,,,,,ছ
",anger
"""তুমি সব কিছুতেই অনেক ফাস্ট"" - nice one :P :P
",joy
"খালি টুট টুট লাগায়,,,,,,টুট না লাগায়া গালি না দিলেই পারস রে ভাই
",disgust
"সালমান তোরে এই মাদারচোতের সাথে দেইখা ভাল্লাগলোনা।
",anger
"সালমান তোরে এই মাদারচোতের সাথে দেইখা ভাল্লাগলোনা।
",disgust
"এ রকম হাজার রাজাকার আছে
",none
"শালা দালাল পা চাটা
",anger
"অন্ধের বাচ্চা অন্ধ । কিসের মধ্যে কি পানতা ভাতে ঘি।
",disgust
"Shoeb Ahmed হালা ভলদ
",anger
"আমাদের এলাকাই পরীক্ষার হলে মোবাইল নিয়ে যায় ছাত্ররা
",none
"আগে শিক্ষক নিয়োগ ব্যবস্থা সুষ্ঠ করেন।আজে বাজে শিক্ষক দিয়ে ভরা শিক্ষা ব্যবস্থা
",disgust
"অবশ্যই সব উন্নয়নে ভাগ বসাবে আর ডিজিটাল নকলে ভাগ বসাবে না এটা কেমন কথা।ডিজিটাল বাঙ্গলা দেশে ডিজিটাল নকল।
",surprise
"আমি জীবনে একবার নকল করছি
",none
"প্রযুক্তি জত ডিজিটাল হবে।অবৈধ পথ ততো বেশি হবে।
",disgust
"প্রযুক্তি জত ডিজিটাল হবে।অবৈধ পথ ততো বেশি হবে।
",sad
"স্বাস্থ্য ভালো । এর মাংসের স্বাদও হবে। কেউ এটা কাটে না কে?
",none
"জবাই করে খাও।
",anger
"মুক মাফির বাচ্চা হল মালুর জাত
",disgust
"খবর বানানোর আর কিছু নাই যা দেখালেন আর আর কিছু বাকি রাখলেন না,
",disgust
"আকাটা মালাউন
",anger
"আকাটা মালাউন
",disgust
"কুরবানী গরু
",none
"কি কয়
",surprise
"গরুটা ত খোদা হয়ে গেছো।মালাউন জা পায় তাকে পুজা দেয়
",anger
"গরুটা ত খোদা হয়ে গেছো।মালাউন জা পায় তাকে পুজা দেয়
",disgust
"ন্যাড়ার বাচ্চাদের মত হজ্জে গিয়ে কালা যোনী পাথরে চুম্মাচাটি করার থেকে, সাত পাক ঘুরার থেকে, উলুধ্বনি দেয়ার থেকে, শয়তানকে পাথর মারার থেকে জ্যান্ত গরুর পূজা করা ভাল।
",anger
"+Abhijeet Kundu গরুটার মাংস হেব্বি লাগবে খেতে
",joy
"অদ্ভুত সেই গরু
",surprise
"গাড়ি কিরে বাসায় পুরাই রাখতে হবে। রাস্তা না থাকলে চালাবে কই।।।।।
",surprise
"কমেন্ট সেকশান অশিক্ষিত আরবিয়ান লেবারদের কমেন্টে ফুলে ফেফে উঠেছে।এরা কমেন্ট করছে যে,বিএমডব্লিউ,অডি গাড়ি তাদের আরব দেশের বাপেরা রাস্তায় ধুলোবালিতে ফেলে রাখে।মেনে নিলাম কথাগুলো,কিন্তু তোদের কয়টা বিএমডব্লিউ,অডি আছে?আমার তো মনে হয়না তোদের ৯০% এরাবিয়ান বাঙ্গালি কামলাদের টয়োটা স্টারলেট কেনার ক্ষমতা আছে বলে।তাছাড়া বাংলাদেশে একটি গাড়ির মূল দামের ওপর ৪ গুন শুল্ক আরোপ করা হয়।সুতরাং,বাংলাদেশে অডি A3 কেনা উন্নত কোন দেশে Audi A8 কেনার সমান।
",disgust
"Jumon Ahmed তুই একটা খানজির
",anger
"বাংলাদেশে অডি আর বাইরে অডির মধ্যে পার্থক্য অনেক,বাইরে গাড়ি কিনা ব্যাপার না।কিন্তু বাংলাদেশে রিকন্ডিশন গাড়ি কিনতেও ৪০০% ভ্যাট দেয়া লাগে।মানে আপনার গাড়ির দাম যদি ১ কোটি হয়,তাহলে ৪ কোটি টাকা শুধু ভ্যাট।!
",surprise
"আমাদের মাস শেষে জমার জন্য কিছু থাকেনা।আর তারা চলে কোটি টাকার গাড়ীতে। জরিপ করে দেখলে দেখা যাবে, তাদের আয়কর ফাঁকিবাজীতে ভরপুর।
",disgust
"আমাদের মাস শেষে জমার জন্য কিছু থাকেনা।আর তারা চলে কোটি টাকার গাড়ীতে। জরিপ করে দেখলে দেখা যাবে, তাদের আয়কর ফাঁকিবাজীতে ভরপুর।
",sad
"এডি হেডার গারি সাত হাজার দিনার বাহারাইন
",disgust
"ভাই,আমার বাসা Lamborghini র Factory র বাসা।লাগলে বলবেন।BOLOGNA, ITALY
",none
"এটা খবর হল? গরুর গাড়ি এখন বাংলাদেশে নয় উন্নত বিশশেও এমন হলে হত।
",disgust
"এটা খবর হল? গরুর গাড়ি এখন বাংলাদেশে নয় উন্নত বিশশেও এমন হলে হত।
",surprise
"অনেক ভালো হবে।
",joy
"সরকার অনেক কিছু করে তবে তা কবে নাগাত করে তা যানেনা
",disgust
"ভাই পুরান ডাকাকে কবে নাগিদ ডিজিটাল সহরে পরিনত করবেন ৷ত্রটাকি ইহজনমে সম্বব৷
",none
"শুধু টাকা ব্যয় করলে হবেনা, তা বাস্তবায়ন করতে হবে। তাই আপনারা যতো যন্ত্র লাগান, তা যত্ন ও ব্যবহারও নিস্চিত করতে হবে। তাই আসুন আগে এসবটা খেয়াল করি, তারপর আগাই। ধন্যবাদ
",anger
"শুধু টাকা ব্যয় করলে হবেনা, তা বাস্তবায়ন করতে হবে। তাই আপনারা যতো যন্ত্র লাগান, তা যত্ন ও ব্যবহারও নিস্চিত করতে হবে। তাই আসুন আগে এসবটা খেয়াল করি, তারপর আগাই। ধন্যবাদ
",disgust
"ভাল এই হবে
",joy
"যত দিন রাস্তা ফুটপাত দখল থাকবে,fitness হীন গাড়ি তএ লোকাল গাড়ি parking করে যাএি তুলবে ততোদিন যানজোট intelligent machine বসাইয়া কোন লাভ কেউ
",disgust
"কিরে তারিখ দিলি ১৪/২/১৮ কিন্তু খবর তো ১/৪/১৫ তারিখের। কত ভিউছ লাগবে তোর ???
",anger
"কিরে তারিখ দিলি ১৪/২/১৮ কিন্তু খবর তো ১/৪/১৫ তারিখের। কত ভিউছ লাগবে তোর ???
",surprise
"ভাই এই বয়েজ টা কি মানুষের নাকি চিকার বাচ্চার
",disgust
"দেশের বাড়ি গড় কোথা তোমার. এইটা কি ধরনের ভাষায় কথাবার্তা বলছো বাবু
",none
"Rafi Khan হায়রে কপাল মোনদো চোখ থাকিতে/????????
",sad
"যানজট অনেক কমবে। এমন আরো ৪-৫ টি মেট্রো এর কাজ হাতে নেয়া দরকার। আশাকরি গাবতলি টু গুলশান/ভাটারা মেট্রো এর কাজ শুরু হবে।
",none
"এইগুলা রাজাকার ছাড়া কিছুই না, নাইলে নিজের দেশকে এভাবে অপমান করত না
",anger
"এইগুলা রাজাকার ছাড়া কিছুই না, নাইলে নিজের দেশকে এভাবে অপমান করত না
",disgust
"চাঁদ তারা কি হবে ?
",none
"শেখ হাসিনাকে ফেণীবাসীর অভিনদন REPLY
",joy
"খুব আমার চ্যানেল দেখার আমন্ত্রণ
",none
"কোন আবাল এইসব রিপোর্ট বানায়!!!
",disgust
"এই খানকির জন্মা , কুরআনের তাফসীর বই কিভাবে সন্দেহজনক বই হতে পারে???? ।
",anger
"এই গাধার বাচ্চা তোর পরিচয় অার বংশ পরিচয় নিয়া সন্দেহ হয়। জাতীয় বিশ্ববিদ্যালয় কি তোরে পুটকি মারছে?? পাবলিকের পরেই, অাল্পের জন্য বাদ পড়া মেধাবীরা জাতীয় তে পড়ে। দেখিস না প্রতিবছর জাতীয় থেকে বিসিএস পায়, ৩৬ তম তে ১৩ তম জাতীয় থেকে। ঢাকা, কবি নজরুল, তীতুমীর, কারমাইকেল, ভিক্টোরীয়া, এম সি, সিটি সহ দেশের নাম করা কলেজ গুলা কি খারাপ নাকি?? অসভ্য মুর্খ। মনে তো হয় না তোর কোন নিজস্ব পরিচয় অাছে।
",anger
"এই গাধার বাচ্চা তোর পরিচয় অার বংশ পরিচয় নিয়া সন্দেহ হয়। জাতীয় বিশ্ববিদ্যালয় কি তোরে পুটকি মারছে?? পাবলিকের পরেই, অাল্পের জন্য বাদ পড়া মেধাবীরা জাতীয় তে পড়ে। দেখিস না প্রতিবছর জাতীয় থেকে বিসিএস পায়, ৩৬ তম তে ১৩ তম জাতীয় থেকে। ঢাকা, কবি নজরুল, তীতুমীর, কারমাইকেল, ভিক্টোরীয়া, এম সি, সিটি সহ দেশের নাম করা কলেজ গুলা কি খারাপ নাকি?? অসভ্য মুর্খ। মনে তো হয় না তোর কোন নিজস্ব পরিচয় অাছে।
",disgust
"আমরা বিদেশে এসে লানচিত হই, আর বিদেশিরা আমাদের দেশেই আমাদের লানচিত করে, তাহলে কোথাই আমরা আর আমাদের দেশ???
",disgust
"আমরা বিদেশে এসে লানচিত হই, আর বিদেশিরা আমাদের দেশেই আমাদের লানচিত করে, তাহলে কোথাই আমরা আর আমাদের দেশ???
",sad
"কোন দেশে আছি রে ভাই। পুলিশ বাল ফালাতে পারেনা।আর বিদেশে অনুমতি ছাড়া কিছুই করতে পারেনা।তা না হলে জেল।
",disgust
"বাংলাদেশে উপরে ফিটফাট ভীতরে সদরঘাট। দুনিয়ার আকাম কুকাম, দুর্নীতিতে ভরা আর এল্কোহল খাইলেই জাত যায়। তাছাড়া রেস্টুরেন্ট এ খাওয়ারত বিদেশী কাস্টোমারদের জিজ্ঞাসাবাদ করার অধিকার এই প্রতিবেদক কোত্থেকে পেল??!! বা** ফেলতে আর জ্যামের মধ্যে বসে থাকার জন্য বিদেশীরা এখানে আসবে?? আমি হইলে এই ক্যামেরামেনের পাছায় দুইটা লাত্থি দিতাম।
",anger
"বাংলাদেশে উপরে ফিটফাট ভীতরে সদরঘাট। দুনিয়ার আকাম কুকাম, দুর্নীতিতে ভরা আর এল্কোহল খাইলেই জাত যায়। তাছাড়া রেস্টুরেন্ট এ খাওয়ারত বিদেশী কাস্টোমারদের জিজ্ঞাসাবাদ করার অধিকার এই প্রতিবেদক কোত্থেকে পেল??!! বা** ফেলতে আর জ্যামের মধ্যে বসে থাকার জন্য বিদেশীরা এখানে আসবে?? আমি হইলে এই ক্যামেরামেনের পাছায় দুইটা লাত্থি দিতাম।
",disgust
"কর্মকর্তাগুলানরা সকাল-বিকাল থাপড়ান উচিৎ, এরা বলতেছে অনুমতি নাই তাহলে তার তদারকি এরা কেন করতেছে না? আরেকটা ইস্যু হল বিদেশীরা মদ বা অ্যালকোহলকে খারাপ কিছু মনে করে না- বাইরের দেশে বাঙ্গালী মুসলিমরা যে রকম হালাল মাংস খুঁজে এবং সেটা খাওয়া তাদের অধিকার মনে করে বিদেশীদের জন্যও অ্যাালকোহল অনেক একই রকম। দেশে ভিনদেশী নাগরিকরা থাকতে হলে তাদের জন্য সেই ধরনের ব্যবস্থাও থাকতে হবে, তবে সব কিছুই আইনানুযায়ী হতে হবে। বার বা বিদেশী রেস্তুরেন্ট সিস্টেমেটিক ভাবে গড়তে দিতে হবে যাতে লাভ বা ট্যাক্স সরকার পায়- দুর্নিতিগ্রস্থ কর্মচারিরা না।
",anger
"কেও বলতে পারবে না সে পুরোপুরি ভাল
",none
"চোরের কাছে কি বিচার পাওয়া যাবে
",anger
"চোরের কাছে কি বিচার পাওয়া যাবে
",disgust
"স্যার অসাধারণ যুক্তি দিয়ে কথা বলেন।।।।
",none
"৩য় মাত্রা খুব ভালো অনুষ্ঠান কারন এটা জিল্লুর রহমান পরিচালনা করেন।
",joy
"Ashik ur Rahman সত্যি বললে যে রাজাকার, আর জামাত তা আমরা সবাই জানি
",disgust
"নিমখহারাম, মুক্তিযোদ্ধা দের বদৌলতে আজ তোমরা এত উন্নতি করেছো সেই মুক্তিযোদ্ধাদের দেশে তাদের অসহায় রাখার পাঁয়তারা করার তুমি কে? এই দেশে চাকরী আগে হলে সবার আগে শ্রেষ্ঠ সন্তানদের অধিকার থাকবে, তোমার মত সুবিধাবাদী স্বাধীনতার স্বাদ নেয়া নিমখহারামের ছেলেমেয়ের কথা আগে আসবে কেন!
",anger
"আপনারা মুকতি যুদদা দেরকে অপমান করচেন এটা ভাল নয়
",disgust
"আসিফ নজরুল স্যার ১০০% সত্যি কথা বলচেন
",none
"স্যারের সময়োপযোগী বক্তব্যগুলো আমি সরাসরী দেখেছি অসংখ্য ধন্যবাদ স্যার আপনার দীর্ঘায়ূ কামনা করি।
",joy
"আমার বিশ্বাস, মুক্তি যোদ্ধা কোটা বাতিল হলে মুক্তি যুদ্ধের সনদ নেবার জন্য কেউ দুর্নীতি করবে না
",none
"সালা রাজাকারের দালাল।
",anger
"আসিফ নকরুল ও তোহিন এ দুই হালায় সব কিছোর।মাজে বাম হাত দেয়
",disgust
"স্যালুট স্যার
",joy
"স্যার আপনাকে
",none
"এরে শালার বেটা শালা তোকে কি কেউ বলেছে কোনটার উপর রাগ ছিলো। আর তিনি কি বলেছেন উনি রাগ করে কথাগুলো বলেছেন। তোরা সব শালা মাদারচোদ। তোরা শালারা সব কিছুকেই ডান বামে বাঁকা করে দেখিস। শুয়রের বাচ্চা।
",anger
"আসিফ নজরুলের মনে হয় বন্দুক কোটা আছে। সালা সব সার্থবাদী।
",disgust
"স্যার আমরা মুক্তি যোদ্ধা হয়েও আজও কোন কোটা পাই না
",sad
"বাস্তব কথা।
",none
"তুই মাদারচুদ
",anger
"Mohammed Ismail Hassan আসিফ সথ্যা কথা বলেছে
",none
"ভুয়ো মুক্তি যোদ্ধায় দেশ ভর্তি ।দেশে গেরামে গিয়ে খোঁজ করে বের করে দেখূন ।সব সত্য মিথ্যা বেরিয়ে আসবে দেখবেন ।
",anger
"ভুয়ো মুক্তি যোদ্ধায় দেশ ভর্তি ।দেশে গেরামে গিয়ে খোঁজ করে বের করে দেখূন ।সব সত্য মিথ্যা বেরিয়ে আসবে দেখবেন ।
",disgust
"বিএনপির দালাল
",disgust
"Fariya sherin ধন্যবাদ আপনাকে
",joy
"এই দুই মাগিকে একটু আইনা দে আমি একটু ছুদি
",anger
"এই দুই মাগিকে একটু আইনা দে আমি একটু ছুদি
",anger
"রোবায়েদ ভাই আপনারা এই কাজ টা ভালো করেন নাই তিন বেয়াদপ এর সাথে এক জন ভালো মানুষ কে কেন আনলেন উছিত মনে হয় না
",anger
"ইমরান কে কেন আনছেন ? আস্ত ভন্ড
",disgust
"এখানে মুসলিমদের বেপার এখানে পতিতা দুই জন কেন
",anger
"এখানে মুসলিমদের বেপার এখানে পতিতা দুই জন কেন
",surprise
"এখানে মুসলিমদের বেপার এখানে পতিতা দুই জন কেন
",disgust
"অপু সুলতানা ইমরন সবাই নাস্তিক
",disgust
"বড় বড় নাস্তিক দের সাথে কি আর একজন আস্তিক পারবে নাকি,
",disgust
"বড় বড় নাস্তিক দের সাথে কি আর একজন আস্তিক পারবে নাকি,
",surprise
"বড় বড় নাস্তিক দের সাথে কি আর একজন আস্তিক পারবে নাকি,
",disgust
"গাধা আর গাধীর মত হে হে হে করে, আবালের মত!!! আসল কথার উত্তর দেয়ারও সুযোগ দেয়না
",disgust
"মহিলা দুইটা বেয়াদব তোরা ঘরেজিনিস তোদের রাজনিতি করতে হবেকেন
",anger
"মহিলা দুইটা বেয়াদব তোরা ঘরেজিনিস তোদের রাজনিতি করতে হবেকেন
",disgust
"খানকি মাগির পোলা ইমরান তোরা নারীর অদিকার নিয়ে কথা বলস,শাহাবাগ মঞ্চে নারী নিয়ে অাকাম করস অাবার কথা বলস খানকির মাগির পুত
",anger
"ইমরান এইডস সরকার বলদটিকে একটু ঘাস পানি না দিয়ে বিদায় দিবেন না!
",disgust
"সুলতানা কামাল গং ও আরো কিছু পাচাটা জাতীয় তথা কথিত বুদ্ধিজীবি (কেউ মানুক আর নাই মানুক) সরকারের পাচাটতে গিয়ে অতীত ভুলে জিয়াকে দোষ দিয়ে যেসব কথা বলে তার ভিতর যদিও কিছু সত্য হয়তো আছে বা নাই (যেমন কথিত রাজাকারের গাড়িতে পতাকা উত্তোলন) কিন্তু জনাবেরা আপনাদের জানা উচিত আপনাদের বঙ্গবন্ধুই প্রথম রাজাকারের গাড়িতে পতাকা উত্তোলন করেছেন আবার আপনাদেরই নেত্রী বিখ্যাত রাজাকারের ছেলের সঙ্গে মেয়ের বিয়ে দিয়েছেন। সেটার কথা বলতে কি লজ্জা পান? আহারে একচোখা পা চাটার দল!!!! আমি গতকালই তো ফেসবুকে ভিডিওতে দেখলাম আপনাদের বঙ্গবন্ধু ভুট্টোকে দাওয়াত দিয়ে বাংলাদেশে নিয়ে এসে মহা ঝাপ্টাঝাপ্টির কোলাকুলি মারছেন - সেখানে আপনাদের চোখ বন্ধ থাকে কেনো জানতে পারি কি? আপনাদের নেত্রী বিদেশ গিয়ে পাকিস্তানের প্রধান মন্ত্রী নওয়াজ শরীফের সঙ্গে মহা হাসাহাসি করে সে কথা তো বেমালুম ভুলে যান। আহারে মানুষ - আল্লাহ সবাইকে হেদায়েত দিন। আমিন।
",disgust
"সালা কুওার বাচ্চা সাহাবাগের তোরে আইক্কা বাশ অপেক্ষা কর
",anger
"ইমরান সুপিয়া কামাল দুনুটা নাস্তিক জারজ সন্তান
",anger
"ইমরান সুপিয়া কামাল দুনুটা নাস্তিক জারজ সন্তান
",disgust
"ইমরান এইচ শুকর এর বাচ্চা
",anger
"ইমরান এইচ শুকর এর বাচ্চা
",disgust
"ভাই আপনারা দেখেন মাগি কেমন দেখা যায়,,,,২ টা বাংলার বড় মাগি,,,অনেক মাগির পুলা জন্ম দিসে,,,তার মদ্দে ইমরান হল একটা খানকির পুলা
",anger
"ভাই আপনারা দেখেন মাগি কেমন দেখা যায়,,,,২ টা বাংলার বড় মাগি,,,অনেক মাগির পুলা জন্ম দিসে,,,তার মদ্দে ইমরান হল একটা খানকির পুলা
",disgust
"ভাই আপনারা দেখেন মাগি কেমন দেখা যায়,,,,২ টা বাংলার বড় মাগি,,,অনেক মাগির পুলা জন্ম দিসে,,,তার মদ্দে ইমরান হল একটা খানকির পুলা
",anger
"ভাই আপনারা দেখেন মাগি কেমন দেখা যায়,,,,২ টা বাংলার বড় মাগি,,,অনেক মাগির পুলা জন্ম দিসে,,,তার মদ্দে ইমরান হল একটা খানকির পুলা
",disgust
"আজ বহুদিন পর,নাস্তিক দেখতে পারলাম,,তাও বাংলাদেশে
",surprise
"আজ বহুদিন পর,নাস্তিক দেখতে পারলাম,,তাও বাংলাদেশে
",surprise
"ভাগ্য ভালো ঐ নারী সাংবাদিক ঐদিন বেঁচে গেছে । কারন তিনি কিছু সভ্য মানুষদেরকে গালি দিয়েছিলেন । আর তারা তাকে মাফ করে দিয়েছে । যদি সোনার ছেলেদের হাতে পড়তো, তাহলে তার ইজ্জত তো দূরের কথা । বেচে থাকাই দুষ্কর হতো ।
",disgust
"ইমরান তর গালে জুতা মারব
",anger
"আমি ঐপ্রতিষ্ঠানকে বলব আপনার তো তিন জন্য হুকুরকে ডাকা বলা উচিৎ
",none
"আমি ঐপ্রতিষ্ঠানকে বলব আপনার তো তিন জন্য হুকুরকে ডাকা বলা উচিৎ
",none
"হুজুর আপনি কেন এই বিয়াদবদের সাথে গেছেন আপনি নবির ওয়ারিস ওরা ইবলিশ
",disgust
"আপনি এত হাসেন কেন বলেন
",surprise
"চার ছাগলের সাথে কিসের কথা
",anger
"কুওার বাচ্চা অপু
",anger
"তিন নাসতিক এক আলেম।
",none
"জানোয়ার দের সাথে আলোচনা না করাই ভালো???
",disgust
"একজন হিন্দু , একজন মিশ্র হিন্দু, আরেক জন সরাসরি মুরতাদ।
",disgust
"বলদদের সাথে কিসের তর্ক
",disgust
"বলদদের সাথে কিসের তর্ক
",disgust
"তিন বেয়াদবের সাথে ত্রক জন কিভাবে পারবে
",disgust
"তিন বেয়াদবের সাথে ত্রক জন কিভাবে পারবে
",sad
"একটা কুত্তা, দুটি কুত্তির ঘেউ ঘেউ , একটা টকশো নাকি কুত্তা- কুত্তির ঘেউ ঘেউ |
",anger
"তিনজনের সামনে একজন যা বলতাছে তাতেই কথা বলার ভারসাম্য রাখতে পারে না সমান সমান হলেতো কোনো কথাই নাই
",none
"ABDUL MATIN ভাইরে নাস্তিকদের বুঝালে ও বুঝবে না
",disgust
"মাদারচ্চদ ইমরান তুই ত জারজ সন্তান
",anger
"কুতার বাচ্চ ইম রান স সরকার
",anger
"দুংখ জনক হলেও সত্য এই ধরনের তিনজন নাস্তিকের সাথে আরো কয়েকজন নাস্তিকের কারনে বাংলাদেশে এত সমস্যা।
",disgust
"দুংখ জনক হলেও সত্য এই ধরনের তিনজন নাস্তিকের সাথে আরো কয়েকজন নাস্তিকের কারনে বাংলাদেশে এত সমস্যা।
",disgust
"দুংখ জনক হলেও সত্য এই ধরনের তিনজন নাস্তিকের সাথে আরো কয়েকজন নাস্তিকের কারনে বাংলাদেশে এত সমস্যা।
",sad
"ইহুদি তরা,ঠিক না,,
",disgust
"নাটকিয় কথা
",none
"যত অপ্রাসঙ্গিক কথা বলে এই ইমরান। যেমন ""নারী ডাক্তার ছাড়া কিন্তু উনারা দেখান না""। অসভ্য
",anger
"যত অপ্রাসঙ্গিক কথা বলে এই ইমরান। যেমন ""নারী ডাক্তার ছাড়া কিন্তু উনারা দেখান না""। অসভ্য
",disgust
"যত অপ্রাসঙ্গিক কথা বলে এই ইমরান। যেমন ""নারী ডাক্তার ছাড়া কিন্তু উনারা দেখান না""। অসভ্য
",anger
"যত অপ্রাসঙ্গিক কথা বলে এই ইমরান। যেমন ""নারী ডাক্তার ছাড়া কিন্তু উনারা দেখান না""। অসভ্য
",disgust
"তিন ছাগল
",disgust
"এই দুই মাগিরে জুতা মারি
",anger
"নাস্তিক রা নিজেদের সবচেয়ে বুদ্ধিমান মনে করে, আসলে তাদের মত মুর্খ আর কেউ নয়। তদের বিচার আল্লাহ করবে।
",disgust
"নাস্তিক রা নিজেদের সবচেয়ে বুদ্ধিমান মনে করে, আসলে তাদের মত মুর্খ আর কেউ নয়। তদের বিচার আল্লাহ করবে।
",disgust
"খানকির পোলা ইমরান কুরআন সম্পকে কি বোজে।
",anger
"মাশাল্লাশ তিন নাস্তিক কুলাঙ্গার দের একাই বাশ দিলেন।
",anger
"মাশাল্লাশ তিন নাস্তিক কুলাঙ্গার দের একাই বাশ দিলেন।
",joy
"মাশাল্লাশ তিন নাস্তিক কুলাঙ্গার দের একাই বাশ দিলেন।
",joy
"মাশাল্লাশ তিন নাস্তিক কুলাঙ্গার দের একাই বাশ দিলেন।
",joy
"মানুষ,নামে,জানোয়ার,,
",anger
"মানুষ,নামে,জানোয়ার,,
",disgust
"মানুষ,নামে,জানোয়ার,,
",sad
"মানুষ,নামে,জানোয়ার,,
",disgust
"যারা ইসলামের শএু তারা কোরআন পুরিয়েছে, কোন মুসলিম এই কাজ করতে পারেনা
",anger
"যারা ইসলামের শএু তারা কোরআন পুরিয়েছে, কোন মুসলিম এই কাজ করতে পারেনা
",disgust
"এই চ্যানেলের ভুমিকাটাই পরিষ্কার যারা কোন একজন আলেমকে মুখমুখি করে ইসলাম বিরোধী একাধিক মুনাফিকের সাথে।
",surprise
"আপনার বোজা ভুল ইসলাম রজনিতী পছন্দ করে সে কারনেই এক সময় পুরো পৃথিবী মুসলিমরা শাসন করতো আর তখন একটি সাদারন মেয়েললোক এক রাজ্জ থেকে অন্যরাজ্জে হেটে যতো ছিল না কোনো বকাটে ছেলে বিরক্তী করার জন্যে ছিলনা কোনো নিজ্জতন। কারন রাজ্জো মুসলিমরা পরিচালনা করতো। ভাই আপনাকে বলি ইসলামি ইতিহাশ পরুন।
",none
"বন্ধুরা আমি আজকে কমেন্ট করছি এর এই আলোচনার কারনে কারন, সত্য পেয়েছি তাই আগে করিনি আজ বুজলাম তাই বলছি সে একটা দালাল এবং নিজেই এ্কটা রাজাকারের বংশদর পাশাপাশি সে একটা কুত্তার বাচ্ছা মাদারচুদ
",anger
